,title,headline
10,How to Get a Record Deal With Phantom City Studio,"##STEP##Practice your material until you can perform each song perfectly.,##STEP##Choose whether you're going to record your music in your own home studio or a professional recording studio.,##STEP##Prove your talent.,##STEP##Pick your best three to five songs for a demo submission.,##STEP##Write a brief bio.,##STEP##Visit http://www.PhantomCityStudio.com/Demos for up-to-date information on how to properly submit your music demo.##STEP####STEP##,##STEP##Complete the demo submission process.##STEP####STEP##,##STEP##Wait a for a response.##STEP####STEP##"
11,How to Find the Nearest Casino1,"##STEP##Listen to radio advertisements.,##STEP##Determine the distance from your location to each casino.,##STEP##Choose the casino that is the shortest distance from your location.##STEP####STEP##"
12,How to Be a Stage Manager,"##STEP##Take theatre classes.,##STEP##Volunteer at a theatre.,##STEP##Try out every position.,##STEP##Apply for an internship.,##STEP##Apply at local theatres.,##STEP##See if there’s an opening at a school near you.,##STEP##Apply at music venues.,##STEP##Network.,##STEP##Wear black and dress conservatively.,##STEP##Dedicate your time.,##STEP##Be assertive.,##STEP##Provide great customer service.,##STEP##Improve your leadership skills.,##STEP##Communicate clearly.,##STEP##Stay organized."
13,How to Find Actors,"##STEP##Set up a clear list of traits and characteristics you are looking for, as well as the skills the actors need to have.,##STEP##Remember the budget, the deadline, and all of the small details that the person you hire will need to know.,##STEP##Call a talent agent, or look through portfolios on their website to see if anyone has the right qualifications/appearance.##STEP####STEP##,##STEP##Leave an advertisement in a high circulation newspaper or on an ad site.,##STEP##Use any connections you may have to track down the perfect man (or woman) for the job, such as an aspiring performer, a casting director, a drama teacher, etc.##STEP####STEP##,##STEP##Use social media sites to contact actors or widen your search area.##STEP####STEP##,##STEP##Search for actors online and contact them through their website.##STEP####STEP##,##STEP##Hold an open call audition.,##STEP##Attend plays, concerts, recitals, or even a few acting classes to search for the talent.##STEP####STEP##"
14,How to Find a Minivan Mechanic,"##STEP##Determine if your minivan is currently under warranty.,##STEP##If so, locate a mechanic for warranty work.,##STEP##Ask your friends, colleagues and family members for recommendations for a good mechanic.,##STEP##Visit or call the recommended mechanic and ask him if he does the kind of repairs or maintenance you need done on your minivan.,##STEP##Select a specialized mechanic if your van needs brake repairs, alignment adjustments, exhaust work or radiator replacement.,##STEP##Request a detailed estimate before you authorize work to be completed.,##STEP##Ask about the shop's business hours.,##STEP##Inquire about the shop's guarantee on completed work.,##STEP##Get references or read testimonials for a mechanic or auto shop before you make your final decision."
15,How to Conduct a Workshop,"##STEP##Define the workshop objective.,##STEP##Decide who your audience is.,##STEP##Schedule your workshop for the morning or early afternoon.,##STEP##Publicize your workshop.,##STEP##Recruit 8-15 participants for your workshop.,##STEP##Prepare your participants for the workshop.,##STEP##Prioritize your goals for the workshop.,##STEP##Prepare a variety of teaching aids.,##STEP##Prepare paper handouts.,##STEP##Arrange your audio-visual materials.,##STEP##Organize your computer-based materials.,##STEP##Recruit experts, speakers, and assistants.,##STEP##Decide on your group activities.,##STEP##Leave time for breaks.,##STEP##Resist cramming.,##STEP##Secure catering.,##STEP##Arrive early.,##STEP##Set up all equipment before participants arrive.,##STEP##Arrange the chairs in advance.,##STEP##Distribute materials.,##STEP##Greet participants as they arrive.,##STEP##Introduce yourself and the workshop.,##STEP##Begin icebreakers.,##STEP##Execute your lesson plan.,##STEP##Be flexible.,##STEP##Use interactive exercises to reinforce information.,##STEP##Don't talk too much.,##STEP##Stick to your scheduled breaks.,##STEP##Switch up activities every 20-30 minutes.,##STEP##Lighten the mood.,##STEP##Maintain a respectful, democratic atmosphere.,##STEP##Be prepared for the unexpected.,##STEP##Conclude the workshop with a summary of what they have learned.,##STEP##Get feedback immediately after the session.,##STEP##Follow up with the participants a few days or weeks later.,##STEP##Schedule a follow-up workshop if necessary."
16,How to Always Catch Pop Culture References2,"##STEP##Make a list of references you don’t understand.,##STEP##Look up quotations from popular shows, movies, and songs.,##STEP##Use online slang dictionaries to look up words you don’t know.,##STEP##Watch or listen to the old stuff with friends.,##STEP##Don’t try to know it all."
17,How to Find the Nearest Casino2,"##STEP##Watch television advertisements.,##STEP##Determine the distance from your location to each casino.,##STEP##Choose the casino that is the shortest distance from your location.##STEP####STEP##"
18,How to Find the Nearest Casino3,"##STEP##Read local newspapers and/or newspapers with a broader focus.,##STEP##Determine the distance from your location to each casino.,##STEP##Choose the casino that is the shortest distance from your location.##STEP####STEP##"
19,How to Find the Nearest Casino4,"##STEP##Read your local phone book.,##STEP##Determine the distance from your location to each casino.,##STEP##Choose the casino that is the shortest distance from your location.##STEP####STEP##"
20,How to Find the Nearest Casino5,"##STEP##Visit the following URL on your Internet browser: http://www.pokerhouse.co.uk/landbasedcasinos.html.,##STEP##Click the link that applies to your location.,##STEP##Determine the distance from your location to each casino.,Choose the casino that is the shortest distance from your location."
21,How to Deal With Fainting Spells,"##STEP##Determine if a fainting spell is approaching.,##STEP##React quickly to the symptoms.,##STEP##Prepare yourself for losing consciousness.,##STEP##Take it slowly if you do faint.,##STEP##Identify the cause.,##STEP##Prevent fainting spells through hydration.,##STEP##Practice calming techniques.,##STEP##Avoid excessive drinking and illegal drugs.,##STEP##Find out if you have a medical condition.,##STEP##Provide the doctor with your history.,##STEP##Follow the doctor's advice."
22,How to Cope with a Bedridden Parent,"##STEP##Help with basic hygiene.,##STEP##Watch for bed sores.,##STEP##Look for signs of chest problems.,##STEP##Provide emotional support.,##STEP##Ask about a social worker.,##STEP##Request help from friends and family.,##STEP##Let the professionals help.,##STEP##Acknowledge your emotions.,##STEP##Ask questions.,##STEP##Take care of your spiritual needs.,##STEP##Enjoy what you can.,##STEP##Determine your limitations.,##STEP##Maintain your health."
23,How to Be Healthy,"##STEP##Drink more water.,##STEP##Eat breakfast.,##STEP##Eat well throughout the day.,##STEP##Eat at the right times.,##STEP##Consider going meatless.,##STEP##Read the labels.,##STEP##Get in shape.,##STEP##Maintain a healthy weight.,##STEP##Cross train.,##STEP##Exercise wisely.,##STEP##Take the little opportunities.,##STEP##Think positively.,##STEP##Be satisfied.,##STEP##Think small.,##STEP##Manage stress.,##STEP##Choose your friends wisely.,##STEP##Be productive.,##STEP##Take a break.,##STEP##Find emotional balance.,##STEP##Stop engaging in risky behavior.,##STEP##Exercise several times a week.,##STEP##Get a good night's rest.,##STEP##Learn how to cook.,##STEP##Maintain your personal hygiene.,##STEP##Bolster your immune system."
24,How to Be a Responsible Pet Parent,"##STEP##Name it!,##STEP##Make sure your pet always has enough food and water.,##STEP##Keep your pet clean.,##STEP##Train your pet.,##STEP##Care for your pet.,##STEP##Make sure to take it to the vet at least every 6 months."
25,How to Be Animal Friendly,"##STEP##Go vegan!,##STEP##Don't buy real fur products!,##STEP##Don't visit zoos or circuses that you know mistreat animals.,##STEP##Adopt!,##STEP##Volunteer at an animal shelter.,##STEP##Recycle and compost.,##STEP##Know your facts.,##STEP##Get involved!"
26,How to Be a Good Pet Owner (for Kids),"##STEP##Give food and water to the pet.,##STEP##Clean up after the pet.,##STEP##Groom the pet.,##STEP##Take your dog for daily walks.,##STEP##Play with your pet.,##STEP##Teach your dog basic obedience commands.,##STEP##Do not give your pet unhealthy treats or food.,##STEP##Follow your parent’s house rules for the pet.,##STEP##Tell your parents if your pet is behaving badly.,##STEP##Let your parents know if your pet seems ill or sick.,##STEP##Add to your pet responsibilities as you get older."
27,How to Leave Your Pets Alone While on Vacation1,"##STEP##Assess your pet's needs.,##STEP##Adjust your pet's schedule.,##STEP##Write detailed instructions.,##STEP##Talk to your veterinarian."
28,How to Keep Your Pets Happy,"##STEP##Greet your pets.,##STEP##Take special time each day to interact with your pets.,##STEP##Wipe/clean up ""accidents"".,##STEP##Give your pets a safe place to travel."
29,How to Know when You Have Too Many Pets,"##STEP##Consider time spent caring for your pets.,##STEP##Calculate space requirements for your pets.,##STEP##Make sure you have the ability to care for your pets.,##STEP##Count the number of pets you already have.,##STEP##Create a budget.,##STEP##Consider what you could spend your money on without pets.,##STEP##Make sure all your needs are being met.,##STEP##Pay for medical care.,##STEP##Find out what the rules are.,##STEP##Check city, county, and state laws.,##STEP##Make sure all pets are licensed.,##STEP##Consider any children in the house.,##STEP##Be courteous of others.,##STEP##Be aware of pet hoarding.,##STEP##Find a new home for excess pets.,##STEP##Volunteer or give money to support animal rescue groups or shelters."
30,How to Improve the Quality of Your Pet's Drinking Water,"##STEP##Use stainless steel or ceramic for the water bowl container.,##STEP##Make sure the container is over-sized.,##STEP##Take care of the condition of your water bowl.,##STEP##Don't just use really hot water.,##STEP##Change the water frequently.,##STEP##Spritz the bowl with a light mist of peroxide after you have cleaned it.,##STEP##Give them filtered water."
31,How to Take Care of Your Pet,"##STEP##Determine if you can adequately care for a pet.,##STEP##Choose a pet that fits your lifestyle.,##STEP##Prepare your house for your incoming pet.,##STEP##Buy necessary pet supplies in advance.,##STEP##Budget enough money for adequate care.,##STEP##Schedule regular visits to the vet.,##STEP##Make sure your new ""family member"" has food that suits their nutritional needs.,##STEP##Give your pet your affection and attention.,##STEP##Clean your pet and all of its enclosures.,##STEP##Do in-depth research about care for your pet."
32,How to Take Care of a Pet,"##STEP##Research the type of pet, so you can make sure the pet fits into your environment and lifestyle.,##STEP##Choose your breed carefully, especially if you have children.,##STEP##Be realistic about your budget, and your ability to shoulder responsibilities.,##STEP##Exercise your pet if it’s the kind of pet that needs it, such as a dog.,##STEP##Watch your pet’s diet carefully.,##STEP##Consider whether your pet needs to be groomed.,##STEP##Monitor your pet for illness and injury.,##STEP##Train your pet if it’s the kind of pet that needs it.,##STEP##Make time for your pet.,##STEP##Love your pet."
33,How to Keep a Pet,"##STEP##Remember that they too are living things.,##STEP##(If small animal) Don't make them live in a small cage choose a big cage, or even make one!##STEP####STEP##,##STEP##Treat them like your family.,##STEP##Understand them.,##STEP##Take control of their stuff, rather than hiring a person to look after them.,##STEP##Give them freedom.,##STEP##Let them do what they want."
34,How to Take Care of Outdoor Exotic Animals,"##STEP##Make a living space for them.,##STEP##Get feeding supplies.,##STEP##Secure the area.,##STEP##Buy a water tank.,##STEP##Be prepared to clean droppings.,##STEP##Don't forget to love them!,##STEP##Finally, have overall common sense!"
35,How to Leave Your Pets Alone While on Vacation2,"##STEP##Try a pet sitter.,##STEP##Ask a friend or neighbor to check on your pet.,##STEP##Take your pet to a boarding kennel.,##STEP##Try home boarding."
36,How to Leave Your Pets Alone While on Vacation3,"##STEP##Relocate your caged pet.,##STEP##Choose an environment that is similar to your home.,##STEP##Get an in-home sitter for birds and cats.,##STEP##Take your pet to a kennel."
37,How to Leave Your Pets Alone While on Vacation4,"##STEP##Make your home comfortable.,##STEP##Pet-proof your home.,##STEP##Use an automatic feeder.,##STEP##Consider a pet camera."
38,How to Train a Parrot,"##STEP##Create a proper training environment.,##STEP##Be prepared.,##STEP##Start early, train often, but don’t push too hard.,##STEP##Have it eating out of your hand.,##STEP##Shape the desired behaviors.,##STEP##Get your clicks.,##STEP##Stay on target.,##STEP##Employ the “step up” as an early training step.,##STEP##Test the most basic method.,##STEP##Use an alternate treat-based step-up.,##STEP##Move on to the target-training step-up.,##STEP##Don’t presume your parrot will (or won’t) talk.,##STEP##Watch your mouth.,##STEP##Start young and stay calm.,##STEP##Repeat, and repeat again."
39,How to Train a Parrot to Say Something,"##STEP##Decide what you want your parrot to say, but make it basic.,##STEP##If you want, you can make it say simple but funny things.,##STEP##You should go to a nice and quiet room.,##STEP##To start teaching it, repeat what you want it to say many times.,##STEP##If you DO get your parrot to say it correctly, then you've succeeded!"
40,How to Toilet Train a Parrot,"##STEP##Observe your bird's natural behavior.,##STEP##Choose a command.,##STEP##Create a potty spot.,##STEP##Move your bird to the potty spot when he needs to go.,##STEP##Say your command when your bird defecates.,##STEP##Reward the behavior.,##STEP##Take your bird to the potty spot as often as necessary.,##STEP##Do not train a new bird too early.,##STEP##Keep your expectations realistic.,##STEP##Do not scold or hit your parrot."
41,How to Make a Beekeeping Suit,"##STEP##Choose a white button-down shirt.,##STEP##Gather other supplies.,##STEP##Remove the buttons from the shirt.,##STEP##Sew the button holes closed.,##STEP##Cut velcro to line the shirt opening.,##STEP##Attach the velcro to the shirt opening.,##STEP##Cut and attach velcro around the collar and sleeves.,##STEP##Choose a wide-brimmed hat.,##STEP##Gather supplies to make the veil.,##STEP##Measure and cut the fabric.,##STEP##Bring the edges together and sew the seam.,##STEP##Sew the veil to the brim of the hat.,##STEP##Buy the remaining beekeeping suit essentials.,##STEP##Put on the hat and gloves.,##STEP##Put on the shirt.,##STEP##Tuck the shirt into your pants.,##STEP##Put on your socks and shoes.,##STEP##Purchase a light-colored, long-sleeved coverall.,##STEP##Attach elastic to the neck hole and wrists.,##STEP##Put on your suit."
42,How to Identify a Queen Bee,"##STEP##Look for a bee larger than the others in the hive.,##STEP##Look for a bee with a pointed abdomen.,##STEP##Using a magnifying glass, look for a bee without a barb on its stinger.,##STEP##Look for a bee that stands with its legs splayed apart.,##STEP##Watch the way the other bees act subserviently around her."
43,How to Identify the Symptoms of Colony Collapse Disorder,"##STEP##Look for a major or complete desertion of the colony by all adult bees over a short period of time.,##STEP##Look for bees.,##STEP##Check for the queen.,##STEP##Check for another colony moving in."
44,How to Shoe a Horse,"##STEP##Lift the horse's foot.,##STEP##Remove any shoes that are already on the horse's feet.,##STEP##Clean the bottom of the hoof.,##STEP##Use a hoof knife to remove excess, flaky sole from the bottom of the hoof.,##STEP##Trim excess hoof wall with hoof nippers.,##STEP##Use a rasp to flatten and level the the sole.,##STEP##Size the shoe to its hoof.,##STEP##Make minor adjustments to the shape of the shoe, if needed.,##STEP##Secure the shoe in its place with nails.,##STEP##Bend and remove the nail tips.,##STEP##Clinch the nail.,##STEP##File any rough spots on the hoof wall.,##STEP##Repeat process three more times until all four hooves have been shod."
45,How to Get Started Beekeeping,"##STEP##Consider your yard size.,##STEP##Check local laws.,##STEP##Start in the spring.,##STEP##Purchase your hive.,##STEP##Construct a hive stand.,##STEP##Get hive tools.,##STEP##Figure out your bee source early.,##STEP##Purchase a “nuc.” Ask your supplier to provide you with a “nuc.” This is a queen bee and a bunch of workers that are ready to place in the hive once spring starts.If this isn’t an option, buy a confirmed queen bee and about 10,000 individual workers, which equals about three pounds of bees.,##STEP##Introduce your bees to their hive.,##STEP##Feed your bees as necessary.,##STEP##Monitor the hive.,##STEP##Watch for potential problems."
46,How to Harvest Sugarbag Honey From a Native Australian Beehive,"##STEP##Consider whether you should harvest the sugarbag honey.,##STEP##Separate the honey 'super' from the 2 brood boxes.,##STEP##Pierce the sugarbag pots.,##STEP##Drain the sugarbag honey.,##STEP##Filter the sugarbag honey.,##STEP##Place the honey super back onto the top of the hive."
47,How to Transport a Guinea Pig,"##STEP##Get a small-ish guinea pig cage that will fit in the backseat of your car.,##STEP##Fill it with a thick layer of newspaper or a waterproof sheet and cover with a soft fleece or towel bedding.##STEP####STEP##,##STEP##Place an attachable ceramic bowl in the cage and fill it with your guinea pig's favorite food before hooking it to the cage.,##STEP##Hook up a water bottle and fill it up to the brim.,##STEP##Put a few handfuls of hay into the cage.##STEP####STEP##,##STEP##Give your guinea pig a toy or two as long as they are light and small - you don't want them to slide and hit your guinea pigs.##STEP####STEP##,##STEP##Put some veggies your guinea pigs like into the cage.##STEP####STEP##,##STEP##Put your guinea pigs in to the cage and put the cage in the car on a seat with the seat belt done up.,##STEP##Talk to your guinea pigs whenever you get the chance.,##STEP##Try to pull pull over at a rest stop every hour.,##STEP##When you have reached your destination, move your guinea pig into a proper hutch or cage, away from direct sunlight."
48,How to Reduce Guinea Pig Allergy,"##STEP##Schedule an appointment with an allergist.,##STEP##Take antihistamines.,##STEP##Consider taking decongestants.,##STEP##Use corticosteroid nasal sprays.,##STEP##Use high-efficiency air filters and purifiers.,##STEP##Confine your guinea pig in one part of your home.,##STEP##Protect yourself from the most common sources of allergens.,##STEP##Wear protective equipment when handling your guinea pig.,##STEP##Wash your hands after any allergen contact.,##STEP##Ask someone who's not allergic to handle guinea pig duties.,##STEP##Consider finding a new home for your pet.,##STEP##Rule out hay/straw allergies.,##STEP##Check if wood shavings are the problem.,##STEP##Try out other guinea pig foods."
49,How to Set Up a Guinea Pig Cage,"##STEP##Consider the size of the cage.,##STEP##Consider a hutch.,##STEP##Consider a cubes and coroplast cage (or C & C).,##STEP##Consider a chicken coop.,##STEP##Consider wired cages.,##STEP##Consider a guinea pig/rabbit run.,##STEP##Do not fall for flimsy pet store cages.,##STEP##Refrain from buying aquariums for your guinea pigs.,##STEP##Don't purchase a cage with a wire bottom.,##STEP##Make sure the home is predator proof.,##STEP##Place the cage in a satisfactory location.,##STEP##Purchase a suitable ramp.,##STEP##Steer clear of toxic materials.,##STEP##Be aware of reviews on wood shavings.,##STEP##Consider using fleece.,##STEP##Consider the use of paper bedding.,##STEP##Consider CareFresh.,##STEP##Consider aspen.,##STEP##Consider the use of hay.,##STEP##Purchase a water bowl or bottle.,##STEP##Purchase a food bowl.,##STEP##Buy huts, bridges and shelters.,##STEP##Consider optional toys for your guinea pig.,##STEP##Purchase a hay rack.,##STEP##Purchase cleaning products.,##STEP##Purchase optional grooming products.,##STEP##Assemble your hutch.,##STEP##Place it in a suitable location.,##STEP##Line it with bedding.,##STEP##Position a feeding and drinking station.,##STEP##Place your huts/shelters in the hutch.,##STEP##Add any toys and cage accessories.,##STEP##Set the hay rack in the hutch.,##STEP##Make sure your guinea pigs ramp can be safely used.,##STEP##Assemble your C & C cage.,##STEP##Place your C & C cage in a suitable location.,##STEP##Line up your bedding.,##STEP##Position the feeding and drinking station.,##STEP##Place your huts/shelters in the cage.,##STEP##Add toys and cage accessories.,##STEP##Set the hay rack in the cage.,##STEP##Assemble the coop.,##STEP##Find a suitable location for the coop.,##STEP##Add bedding.,##STEP##Position the feeding and drinking station.,##STEP##Ensure the ramp is fully accessible.,##STEP##Place huts/shelters in the coop.,##STEP##Add toys to the coop.,##STEP##Set the hay rack in the coop.,##STEP##Assemble the wired cage.,##STEP##Find a good location for the cage.,##STEP##Add bedding to the cage.,##STEP##Position the feeding and drinking stations.,##STEP##Place huts/shelters in the cage.,##STEP##Add toys to the cage.,##STEP##Set the hay rack in the cage."
50,How to Prepare for Your New Guinea Pig,"##STEP##Purchase or build a cage.,##STEP##Line the cage up with absorbent bedding.,##STEP##Choose where to keep the cage.,##STEP##Decide on water bottles or water bowls.,##STEP##Purchase a food bowl.,##STEP##Purchase food prior to the arrival of your guinea pigs.,##STEP##Choose your hay.,##STEP##Purchase a hay dispenser.,##STEP##Purchase huts, tunnels and toys for your guinea pig."
51,How to Take Care of a Monkey,"##STEP##Research monkey species.,##STEP##Be ready for a huge commitment.,##STEP##Find out if it's legal to own a monkey in your state.,##STEP##Find a dealer or breeder with an excellent reputation.,##STEP##Find an exotic animals veterinarian nearby.,##STEP##Build or buy a monkey cage.,##STEP##Monkey-proof your house.,##STEP##Keep the monkey's space clean.,##STEP##Provide clean water bottles every day.,##STEP##Feed him monkey biscuits, fruits and vegetables.,##STEP##Give the monkey plenty of toys and stimulation.,##STEP##Play with the monkey every day.,##STEP##Never punish a monkey.,##STEP##Do not let the monkey play with strangers.,##STEP##Have fun communicating with your monkey."
52,How to Repel Monkeys from Residential Areas1,"##STEP##Use fully secured bins.,##STEP##Don't feed monkeys.,##STEP##Pick the fruit from your trees.,##STEP##Monkey-proof all the houses.,##STEP##Avoid the use of plastic bags.,##STEP##Spread the word."
53,How to Make Your Boyfriend Kiss You,"##STEP##Brush your teeth and tongue well before you meet up with him.,##STEP##Get him alone.,##STEP##Do something romantic.,##STEP##Create a clever ruse to get him close to you.,##STEP##Break the touch barrier if you haven’t already.,##STEP##Cuddle up with him.,##STEP##Work on your pucker.,##STEP##Flirt with your eyes.,##STEP##Give him some serious clues when you are saying goodbye.,##STEP##Flirt with your words.,##STEP##Make him feel confident.,##STEP##Be direct and ask him to kiss you."
54,How to Quiet a Capuchin Monkey1,"##STEP##Respect the differences between a capuchin and more traditional pets.,##STEP##Educate yourself about capuchins.,##STEP##Recognize that capuchins were not meant to be quiet and isolated animals.,##STEP##Consider your capuchin’s needs to address why they are being so vocal."
55,How to Kiss Your Girlfriend in Middle School,"##STEP##Get some privacy.,##STEP##Freshen your breath.,##STEP##Make her feel special.,##STEP##Make sure she’s ready for a kiss.,##STEP##Make physical contact.,##STEP##Avoid the common kissing pitfalls.,##STEP##Lean toward her until your faces are almost touching.,##STEP##Tilt your head slightly.,##STEP##Kiss her.,##STEP##Caress her cheeks and hair.,##STEP##Use your hands (a little bit).,##STEP##Don’t forget to breathe.,##STEP##Slowly pull away.,##STEP##End on a good note."
56,How to Prepare for Your First Kiss,"##STEP##Practice kissing.,##STEP##Practice good oral hygiene.,##STEP##Have moist lips.,##STEP##Find the right moment.,##STEP##Keep your eyes closed.,##STEP##Avoid rushing.,##STEP##Relax.,##STEP##Decide that you are ready.,##STEP##Decide who you want to kiss.,##STEP##Talk with trusted friends.,##STEP##Ignore negative thoughts.,##STEP##Be confident.,##STEP##Understand that it is normal to be nervous.,##STEP##Keep a sense of humor."
57,How to Repel Monkeys from Residential Areas2,"##STEP##Scare them off.,##STEP##Build an electric fence.,##STEP##Deploy an electronic sound repellent."
58,How to Quiet a Capuchin Monkey2,"##STEP##Make sure you have ample space so that capuchins can burn off energy and be less noisy.,##STEP##Find your capuchin a friend.,##STEP##Provide your capuchin with interesting toys and puzzles to keep them occupied.,##STEP##Give your capuchin a mirror to occupy their attention.,##STEP##Offer your capuchin foods that take time and attention to eat.,##STEP##Make time for your capuchin."
59,How to Quiet a Capuchin Monkey3,"##STEP##Bond with your capuchin.,##STEP##Demonstrate that you are in charge.,##STEP##Reward your capuchin’s good, quiet behavior.,##STEP##Use time outs to punish your capuchin when they are loud.,##STEP##Do not resort to physical discipline to quiet your capuchin.,##STEP##Be consistent with your commands, especially when you want them to be quiet.,##STEP##Ask an expert for help."
60,How to Get Your Crush to Dance With You at a School Dance1,"##STEP##Hang out with your friends.,##STEP##Have confident body language.,##STEP##Dance with your friends.,##STEP##Catch your crush’s eye."
61,How to Get a Kiss in Middle School,"##STEP##Think of someone you might want to be your boyfriend or girlfriend.,##STEP##Figure out if that person likes you back.,##STEP##Ask the person out.,##STEP##Start slow.,##STEP##Figure out if you're ready to kiss.,##STEP##Signal that you're ready to be kissed.,##STEP##Pay attention to your partner’s signals.,##STEP##Find the right time and place.,##STEP##Muster your courage.,##STEP##Ask your partner for a kiss.,##STEP##Kiss your partner.,##STEP##Play a game of spin the bottle.,##STEP##Play seven minutes in heaven.,##STEP##Play suck and blow."
62,How to Get Your Crush to Go out With You,"##STEP##Get to know each other.,##STEP##Start doing stuff together.,##STEP##Take it one step further.,##STEP##Play it cool.,##STEP##Ask them out.,##STEP##Deal with their response.,##STEP##Avoid pestering your crush."
63,How to Get Your Crush to Dance With You at a School Dance2,"##STEP##Get near them.,##STEP##Say hi to your crush.,##STEP##Compliment your crush.,##STEP##Talk about the dance.,##STEP##Keep the conversation short if you’re dancing.,##STEP##Give non-verbal cues that you want to dance."
64,How to Get Your Crush to Dance With You at a School Dance3,"##STEP##Wait until the right song.,##STEP##Ask your crush.,##STEP##Encourage them if they are nervous.,##STEP##Keep a respectable distance at first.,##STEP##Read your crush’s body language.,##STEP##Get closer.,##STEP##Assess the situation at the end of the song."
65,How to Snog a Boy,"##STEP##Become confident in yourself.,##STEP##Dress to impress.,##STEP##Style your hair in an interesting way.,##STEP##Highlight your lips.,##STEP##Smell nice.,##STEP##Flirt your way into his heart.,##STEP##Create an opportunity to be alone.,##STEP##Keep open and positive body language.,##STEP##Be patient.,##STEP##Maintain eye contact.,##STEP##Get close.,##STEP##Break the kiss barrier.,##STEP##Go for the kiss.,##STEP##Reinforce the situation with your hands.,##STEP##Change it up.,##STEP##Initiate a French kiss.,##STEP##End the kiss before it becomes boring."
